trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",25,13,10.366419674520579,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,0,-37.97242880439392,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,0,7.370797058405726,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,-35.98473300684098,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,4,-14.56733269902459,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,0,-69.1896576851893,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,0,-2.0172360154393045,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",35,9,-5.463811813528178,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",25,14,-16.609886575424465,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,0,18.49159907944006,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,17,-25.548636684088883,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,8,-74.67453900550127,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,0,11.634997402788024,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",20,16,6.954554359673006,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,0,29.868735927455386,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,0,-28.176035841575143,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",35,0,15.030514399512313,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",25,7,-14.488323267263631,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",25,11,-60.8716458698697,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",20,0,-23.79216688404521,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,0,-39.256685003798886,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,8,20.02492188000059,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",30,7,13.922771701893193,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",20,12,14.53951513957955,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",30,2,10.567327148919988,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,0,0.8104634118196445,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",30,0,29.50985008403554,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
